OBJECTID,Shape_Leng,Shape_Area,District,County,Sub County,Parish,Village,Region,Pop_2020,HHs_2020
52639,13302.74763,7409573.374,Kamwenge,Kitagwenda,Kanara,Kanara,Ngoma I,Western,,
52640,10250.35065,4308506.192,Kamwenge,Kibale,Kahunge,Rwenkuba,Nkarakara,Western,,
52641,8674.523042,2792390.604,Kamwenge,Kibale,Kamwenge,Kakinga,Karokarungi,Western,,
52642,6136.977861,2182825.63,Kamwenge,Kitagwenda,Kanara,Kigarama,Kitakama I,Western,,
52643,7349.131554,2709975.052,Kamwenge,Kibale,Nkoma,Mabaale,Mpanga,Western,,
52644,5657.592094,1287060.767,Kamwenge,Kibale,Bwizi,Ntonwa,Nyamushwiga I,Western,,
52645,9653.332201,3991171.541,Kamwenge,Kitagwenda,Ntara,Ntara,Kyotamusana,Western,,
52646,7474.827795,1652069.157,Kamwenge,Kibale,Bwizi,Bwizi,Nkoni I,Western,,
52647,10623.00535,2681981.723,Kamwenge,Kibale,Kamwenge Town Council,Kitonzi,Kyabyoma,Western,,
52648,13543.65117,8378167.089,Kamwenge,Kibale,Nkoma,Bisozi,Mukole I,Western,,
52649,4219.754785,877443.4503,Kamwenge,Kitagwenda,Buhanda,Kitooma,Kanywambogo Ii,Western,,
52650,9024.764396,3323726.647,Kamwenge,Kitagwenda,Mahyoro,Kitonzi,Nyanga I,Western,,
52651,7427.728267,3132653.069,Kamwenge,Kibale,Biguli,Kampala B,Karokarungi,Western,,
52652,10332.5414,4048083.306,Kamwenge,Kibale,Nkoma,Bisozi,Kakumbu,Western,,
52653,11876.85452,5442762.044,Kamwenge,Kitagwenda,Kicheche,Ruhunga,Kasyoha Forest Reserve,Western,,
52654,8285.00702,3386727.777,Kamwenge,Kibale,Nkoma,Kidunduma,Kabuga I,Western,,
52655,5245.16336,1807021.704,Kamwenge,Kitagwenda,Kicheche,Kigoto,Rugarama,Western,,
52656,4279.285506,936191.2728,Kamwenge,Kibale,Kahunge,Mpanga,Mpanga I,Western,,
52657,10717.26667,5041378.03,Kamwenge,Kibale,Bihanga,Kaberebere Kijungu,Kasozi,Western,,
52658,11656.13194,3487530.366,Kamwenge,Kibale,Busiriba,Kahondo,Kitwe,Western,,
52659,7326.71669,2563223.127,Kamwenge,Kibale,Bwizi,Bwizi,Kagoyigoyi,Western,,
52660,5021.992943,1436754.971,Kamwenge,Kibale,Busiriba,Bigodi,Kyabalyatika,Western,,
52661,7070.936711,2347935.973,Kamwenge,Kitagwenda,Buhanda,Nyabihoko,Kanara,Western,,
